NeuralNetwork(
  (linear_afunc_stack): Sequential(
    (0): BatchNorm1d(5, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (1): Linear(in_features=5, out_features=200, bias=True)
 Accuracy: 66.0%, Avg loss: 0.099231, MRE: 7.967611
Epoch 3/200, Iteration 1/25, Loss: 0.0926
Epoch 3/200, Iteration 2/25, Loss: 0.1568
Epoch 3/200, Iteration 3/25, Loss: 0.1580
Epoch 3/200, Iteration 4/25, Loss: 0.1202
Epoch 3/200, Iteration 5/25, Loss: 0.1670
Epoch 3/200, Iteration 6/25, Loss: 0.1396
Epoch 3/200, Iteration 7/25, Loss: 0.0600
Epoch 3/200, Iteration 8/25, Loss: 0.0991
Epoch 3/200, Iteration 9/25, Loss: 0.0820
Epoch 3/200, Iteration 10/25, Loss: 0.0678
Epoch 3/200, Iteration 11/25, Loss: 0.1329
Epoch 3/200, Iteration 12/25, Loss: 0.0997
Epoch 3/200, Iteration 13/25, Loss: 0.1081
Epoch 3/200, Iteration 14/25, Loss: 0.0724
Epoch 3/200, Iteration 15/25, Loss: 0.1258
Epoch 3/200, Iteration 16/25, Loss: 0.1529
Epoch 3/200, Iteration 17/25, Loss: 0.0722
Epoch 3/200, Iteration 18/25, Loss: 0.1149
Epoch 3/200, Iteration 19/25, Loss: 0.1188
Epoch 3/200, Iteration 20/25, Loss: 0.0689
Epoch 3/200, Iteration 21/25, Loss: 0.1082
Epoch 3/200, Iteration 22/25, Loss: 0.1630
Epoch 3/200, Iteration 23/25, Loss: 0.1554
Epoch 3/200, Iteration 24/25, Loss: 0.0632
Epoch 3/200, Iteration 25/25, Loss: 0.0790
Train Error:
 Accuracy: 79.0%, Avg loss: 0.118187, MRE: 8.906767
Test Error:
 Accuracy: 76.0%, Avg loss: 0.111887, MRE: 13.451078
Epoch 4/200, Iteration 1/25, Loss: 0.1234
Epoch 4/200, Iteration 2/25, Loss: 0.0894
Epoch 4/200, Iteration 3/25, Loss: 0.0702
Epoch 4/200, Iteration 4/25, Loss: 0.0831
Epoch 4/200, Iteration 5/25, Loss: 0.0745
Epoch 4/200, Iteration 6/25, Loss: 0.0506
Epoch 4/200, Iteration 7/25, Loss: 0.0998
Epoch 4/200, Iteration 8/25, Loss: 0.0553
Epoch 4/200, Iteration 9/25, Loss: 0.0667
Epoch 4/200, Iteration 10/25, Loss: 0.1015
Epoch 4/200, Iteration 11/25, Loss: 0.0830
Epoch 4/200, Iteration 12/25, Loss: 0.0834
Epoch 4/200, Iteration 13/25, Loss: 0.0878
Epoch 4/200, Iteration 14/25, Loss: 0.0934
Epoch 4/200, Iteration 15/25, Loss: 0.0385
Epoch 4/200, Iteration 16/25, Loss: 0.1076
Epoch 4/200, Iteration 17/25, Loss: 0.0568
Epoch 4/200, Iteration 18/25, Loss: 0.0550
Epoch 4/200, Iteration 19/25, Loss: 0.0688
Epoch 4/200, Iteration 20/25, Loss: 0.0597
Epoch 4/200, Iteration 21/25, Loss: 0.0403
Epoch 4/200, Iteration 22/25, Loss: 0.0506
Epoch 4/200, Iteration 23/25, Loss: 0.0616
Epoch 4/200, Iteration 24/25, Loss: 0.0750
Epoch 4/200, Iteration 25/25, Loss: 0.0300
Train Error:
 Accuracy: 66.38%, Avg loss: 0.039030, MRE: 1.807433
Test Error:
 Accuracy: 63.0%, Avg loss: 0.038903, MRE: 4.039971
Epoch 5/200, Iteration 1/25, Loss: 0.0362
Epoch 5/200, Iteration 2/25, Loss: 0.0523
Epoch 5/200, Iteration 3/25, Loss: 0.0801
Epoch 5/200, Iteration 4/25, Loss: 0.0644
Epoch 5/200, Iteration 5/25, Loss: 0.0956
Epoch 5/200, Iteration 6/25, Loss: 0.1270
Epoch 5/200, Iteration 7/25, Loss: 0.0349
Epoch 5/200, Iteration 8/25, Loss: 0.1311
Epoch 5/200, Iteration 9/25, Loss: 0.0616
Epoch 5/200, Iteration 10/25, Loss: 0.0868
Epoch 5/200, Iteration 11/25, Loss: 0.0603
Epoch 5/200, Iteration 12/25, Loss: 0.0441
Epoch 5/200, Iteration 13/25, Loss: 0.0524
Epoch 5/200, Iteration 14/25, Loss: 0.0834
Epoch 5/200, Iteration 15/25, Loss: 0.0381
Epoch 5/200, Iteration 16/25, Loss: 0.1813
Epoch 5/200, Iteration 17/25, Loss: 0.1393
Epoch 5/200, Iteration 18/25, Loss: 0.1371
Epoch 5/200, Iteration 19/25, Loss: 0.1632
Epoch 5/200, Iteration 20/25, Loss: 0.0553
Epoch 5/200, Iteration 21/25, Loss: 0.1223
Epoch 5/200, Iteration 22/25, Loss: 0.1368
Epoch 5/200, Iteration 23/25, Loss: 0.1351
Epoch 5/200, Iteration 24/25, Loss: 0.1959
Epoch 5/200, Iteration 25/25, Loss: 0.1236
Train Error:
 Accuracy: 56.25%, Avg loss: 0.078928, MRE: 4.692710
Test Error:
 Accuracy: 56.0%, Avg loss: 0.081075, MRE: 14.781342
Epoch 6/200, Iteration 1/25, Loss: 0.0730
Epoch 6/200, Iteration 2/25, Loss: 0.1482
Epoch 6/200, Iteration 3/25, Loss: 0.1225
Epoch 6/200, Iteration 4/25, Loss: 0.1084
Epoch 6/200, Iteration 5/25, Loss: 0.1597
Epoch 6/200, Iteration 6/25, Loss: 0.0745
Epoch 6/200, Iteration 7/25, Loss: 0.1123
Epoch 6/200, Iteration 8/25, Loss: 0.0592
Epoch 6/200, Iteration 9/25, Loss: 0.0791
Epoch 6/200, Iteration 10/25, Loss: 0.0846
Epoch 6/200, Iteration 11/25, Loss: 0.1046
Epoch 6/200, Iteration 12/25, Loss: 0.0591
Epoch 6/200, Iteration 13/25, Loss: 0.1099
Epoch 6/200, Iteration 14/25, Loss: 0.1397
Epoch 6/200, Iteration 15/25, Loss: 0.0375
Epoch 6/200, Iteration 16/25, Loss: 0.1289
Epoch 6/200, Iteration 17/25, Loss: 0.1017
Epoch 6/200, Iteration 18/25, Loss: 0.1022
Epoch 6/200, Iteration 19/25, Loss: 0.1243
Epoch 6/200, Iteration 20/25, Loss: 0.0633
Epoch 6/200, Iteration 21/25, Loss: 0.1578
Epoch 6/200, Iteration 22/25, Loss: 0.1426
Epoch 6/200, Iteration 23/25, Loss: 0.0949
Epoch 6/200, Iteration 24/25, Loss: 0.1092
Epoch 6/200, Iteration 25/25, Loss: 0.1083
Train Error:
 Accuracy: 33.25%, Avg loss: 0.092232, MRE: 7.327856
Test Error:
 Accuracy: 34.0%, Avg loss: 0.085337, MRE: 6.093280
Epoch 7/200, Iteration 1/25, Loss: 0.1085
Epoch 7/200, Iteration 2/25, Loss: 0.0993
Epoch 7/200, Iteration 3/25, Loss: 0.0717
Epoch 7/200, Iteration 4/25, Loss: 0.0577
Epoch 7/200, Iteration 5/25, Loss: 0.0461
Epoch 7/200, Iteration 6/25, Loss: 0.0533
Epoch 7/200, Iteration 7/25, Loss: 0.0406
Epoch 7/200, Iteration 8/25, Loss: 0.0655
Epoch 7/200, Iteration 9/25, Loss: 0.0528
Epoch 7/200, Iteration 10/25, Loss: 0.0539
Epoch 7/200, Iteration 11/25, Loss: 0.0604
Epoch 7/200, Iteration 12/25, Loss: 0.0489
Epoch 7/200, Iteration 13/25, Loss: 0.0606
Epoch 7/200, Iteration 14/25, Loss: 0.1087
Epoch 7/200, Iteration 15/25, Loss: 0.0589
Epoch 7/200, Iteration 16/25, Loss: 0.0788
Epoch 7/200, Iteration 17/25, Loss: 0.0789
Epoch 7/200, Iteration 18/25, Loss: 0.0369
Epoch 7/200, Iteration 19/25, Loss: 0.0800
Epoch 7/200, Iteration 20/25, Loss: 0.0517
Epoch 7/200, Iteration 21/25, Loss: 0.0533
Epoch 7/200, Iteration 22/25, Loss: 0.0745
Epoch 7/200, Iteration 23/25, Loss: 0.0608
Epoch 7/200, Iteration 24/25, Loss: 0.0684
Epoch 7/200, Iteration 25/25, Loss: 0.0513
Train Error:
 Accuracy: 65.75%, Avg loss: 0.058416, MRE: 4.149955
Test Error:
 Accuracy: 62.0%, Avg loss: 0.056572, MRE: 6.614695
Epoch 8/200, Iteration 1/25, Loss: 0.0520
Epoch 8/200, Iteration 2/25, Loss: 0.0639
Epoch 8/200, Iteration 3/25, Loss: 0.0462
Epoch 8/200, Iteration 4/25, Loss: 0.0500
Epoch 8/200, Iteration 5/25, Loss: 0.0537
Epoch 8/200, Iteration 6/25, Loss: 0.0525
Epoch 8/200, Iteration 7/25, Loss: 0.0606
Epoch 8/200, Iteration 8/25, Loss: 0.0772
Epoch 8/200, Iteration 9/25, Loss: 0.0696
Epoch 8/200, Iteration 10/25, Loss: 0.0523
Epoch 8/200, Iteration 11/25, Loss: 0.0358
Epoch 8/200, Iteration 12/25, Loss: 0.0431
Epoch 8/200, Iteration 13/25, Loss: 0.0480
Epoch 8/200, Iteration 14/25, Loss: 0.0671
Epoch 8/200, Iteration 15/25, Loss: 0.0485
Epoch 8/200, Iteration 16/25, Loss: 0.0406
Epoch 8/200, Iteration 17/25, Loss: 0.0302
Epoch 8/200, Iteration 18/25, Loss: 0.0313
Epoch 8/200, Iteration 19/25, Loss: 0.0276
Epoch 8/200, Iteration 20/25, Loss: 0.0375
Epoch 8/200, Iteration 21/25, Loss: 0.0271
Epoch 8/200, Iteration 22/25, Loss: 0.0401
Epoch 8/200, Iteration 23/25, Loss: 0.0657
Epoch 8/200, Iteration 24/25, Loss: 0.0506
Epoch 8/200, Iteration 25/25, Loss: 0.0795
Train Error:
 Accuracy: 56.25%, Avg loss: 0.043478, MRE: 2.968110
Test Error:
 Accuracy: 58.5%, Avg loss: 0.042674, MRE: 8.995396
Epoch 9/200, Iteration 1/25, Loss: 0.0409
Epoch 9/200, Iteration 2/25, Loss: 0.0683
Epoch 9/200, Iteration 3/25, Loss: 0.0865
Epoch 9/200, Iteration 4/25, Loss: 0.0528
Epoch 9/200, Iteration 5/25, Loss: 0.0585
Epoch 9/200, Iteration 6/25, Loss: 0.0799
Epoch 9/200, Iteration 7/25, Loss: 0.0639
Epoch 9/200, Iteration 8/25, Loss: 0.0793
Epoch 9/200, Iteration 9/25, Loss: 0.0910
Epoch 9/200, Iteration 10/25, Loss: 0.0439
Epoch 9/200, Iteration 11/25, Loss: 0.0809
Epoch 9/200, Iteration 12/25, Loss: 0.0762
Epoch 9/200, Iteration 13/25, Loss: 0.0499
Epoch 9/200, Iteration 14/25, Loss: 0.0821
Epoch 9/200, Iteration 15/25, Loss: 0.0689
Epoch 9/200, Iteration 16/25, Loss: 0.0518
Epoch 9/200, Iteration 17/25, Loss: 0.0853
Epoch 9/200, Iteration 18/25, Loss: 0.0563
Epoch 9/200, Iteration 19/25, Loss: 0.0494
Epoch 9/200, Iteration 20/25, Loss: 0.0627
Epoch 9/200, Iteration 21/25, Loss: 0.0689
Epoch 9/200, Iteration 22/25, Loss: 0.0667
Epoch 9/200, Iteration 23/25, Loss: 0.0540
Epoch 9/200, Iteration 24/25, Loss: 0.0375
Epoch 9/200, Iteration 25/25, Loss: 0.0615
Train Error:
 Accuracy: 57.25%, Avg loss: 0.058213, MRE: 2.681296
Test Error:
 Accuracy: 53.5%, Avg loss: 0.062336, MRE: 5.595538
Epoch 10/200, Iteration 1/25, Loss: 0.0624
Epoch 10/200, Iteration 2/25, Loss: 0.0609
Epoch 10/200, Iteration 3/25, Loss: 0.0776
Epoch 10/200, Iteration 4/25, Loss: 0.0674
Epoch 10/200, Iteration 5/25, Loss: 0.0556
Epoch 10/200, Iteration 6/25, Loss: 0.0668
Epoch 10/200, Iteration 7/25, Loss: 0.0704
Epoch 10/200, Iteration 8/25, Loss: 0.0489
Epoch 10/200, Iteration 9/25, Loss: 0.0625
Epoch 10/200, Iteration 10/25, Loss: 0.0370
Epoch 10/200, Iteration 11/25, Loss: 0.0900
Epoch 10/200, Iteration 12/25, Loss: 0.0517
Epoch 10/200, Iteration 13/25, Loss: 0.0725
Epoch 10/200, Iteration 14/25, Loss: 0.0643
Epoch 10/200, Iteration 15/25, Loss: 0.0574
Epoch 10/200, Iteration 16/25, Loss: 0.0427
Epoch 10/200, Iteration 17/25, Loss: 0.0390
Epoch 10/200, Iteration 18/25, Loss: 0.0441
Epoch 10/200, Iteration 19/25, Loss: 0.0422
Epoch 10/200, Iteration 20/25, Loss: 0.0623
Epoch 10/200, Iteration 21/25, Loss: 0.0539
Epoch 10/200, Iteration 22/25, Loss: 0.0390
Epoch 10/200, Iteration 23/25, Loss: 0.0332
Epoch 10/200, Iteration 24/25, Loss: 0.0326
Epoch 10/200, Iteration 25/25, Loss: 0.0559
Train Error:
 Accuracy: 69.0%, Avg loss: 0.032455, MRE: 1.874471
Test Error:
 Accuracy: 71.5%, Avg loss: 0.032773, MRE: 6.885142
Epoch 11/200, Iteration 1/25, Loss: 0.0268
Epoch 11/200, Iteration 2/25, Loss: 0.0263
Epoch 11/200, Iteration 3/25, Loss: 0.0241
Epoch 11/200, Iteration 4/25, Loss: 0.0309
Epoch 11/200, Iteration 5/25, Loss: 0.0477
Epoch 11/200, Iteration 6/25, Loss: 0.0497
Epoch 11/200, Iteration 7/25, Loss: 0.0665
Epoch 11/200, Iteration 8/25, Loss: 0.0515
Epoch 11/200, Iteration 9/25, Loss: 0.0531
Epoch 11/200, Iteration 10/25, Loss: 0.0415
Epoch 11/200, Iteration 11/25, Loss: 0.0358
Epoch 11/200, Iteration 12/25, Loss: 0.0414
Epoch 11/200, Iteration 13/25, Loss: 0.0365
Epoch 11/200, Iteration 14/25, Loss: 0.0650
Epoch 11/200, Iteration 15/25, Loss: 0.0821
Epoch 11/200, Iteration 16/25, Loss: 0.0585
Epoch 11/200, Iteration 17/25, Loss: 0.0508
Epoch 11/200, Iteration 18/25, Loss: 0.0750
Epoch 11/200, Iteration 19/25, Loss: 0.0811
Epoch 11/200, Iteration 20/25, Loss: 0.0584
Epoch 11/200, Iteration 21/25, Loss: 0.1091
Epoch 11/200, Iteration 22/25, Loss: 0.0401
Epoch 11/200, Iteration 23/25, Loss: 0.1050
Epoch 11/200, Iteration 24/25, Loss: 0.0870
Epoch 11/200, Iteration 25/25, Loss: 0.0397
Train Error:
 Accuracy: 71.88%, Avg loss: 0.061362, MRE: 3.525272
Test Error:
 Accuracy: 68.5%, Avg loss: 0.061394, MRE: 10.780513
Epoch 12/200, Iteration 1/25, Loss: 0.0641
Epoch 12/200, Iteration 2/25, Loss: 0.0531
Epoch 12/200, Iteration 3/25, Loss: 0.0764
Epoch 12/200, Iteration 4/25, Loss: 0.0401
Epoch 12/200, Iteration 5/25, Loss: 0.0574
Epoch 12/200, Iteration 6/25, Loss: 0.0615
Epoch 12/200, Iteration 7/25, Loss: 0.0547
Epoch 12/200, Iteration 8/25, Loss: 0.0454
Epoch 12/200, Iteration 9/25, Loss: 0.0313
Epoch 12/200, Iteration 10/25, Loss: 0.0368
Epoch 12/200, Iteration 11/25, Loss: 0.0601
Epoch 12/200, Iteration 12/25, Loss: 0.0311
Epoch 12/200, Iteration 13/25, Loss: 0.0318
Epoch 12/200, Iteration 14/25, Loss: 0.0894
Epoch 12/200, Iteration 15/25, Loss: 0.0703
Epoch 12/200, Iteration 16/25, Loss: 0.0654
Epoch 12/200, Iteration 17/25, Loss: 0.0485
Epoch 12/200, Iteration 18/25, Loss: 0.0451
Epoch 12/200, Iteration 19/25, Loss: 0.0344
Epoch 12/200, Iteration 20/25, Loss: 0.0362
Epoch 12/200, Iteration 21/25, Loss: 0.0481
Epoch 12/200, Iteration 22/25, Loss: 0.0293
Epoch 12/200, Iteration 23/25, Loss: 0.0623
Epoch 12/200, Iteration 24/25, Loss: 0.0847
Epoch 12/200, Iteration 25/25, Loss: 0.0395
Train Error:
 Accuracy: 29.62%, Avg loss: 0.076270, MRE: 5.414547
Test Error:
 Accuracy: 31.5%, Avg loss: 0.078502, MRE: 9.854368
Epoch 13/200, Iteration 1/25, Loss: 0.0769
Epoch 13/200, Iteration 2/25, Loss: 0.0848
Epoch 13/200, Iteration 3/25, Loss: 0.0831
Epoch 13/200, Iteration 4/25, Loss: 0.0432
Epoch 13/200, Iteration 5/25, Loss: 0.0796
Epoch 13/200, Iteration 6/25, Loss: 0.0520
Epoch 13/200, Iteration 7/25, Loss: 0.0911
Epoch 13/200, Iteration 8/25, Loss: 0.0957
Epoch 13/200, Iteration 9/25, Loss: 0.0381
Epoch 13/200, Iteration 10/25, Loss: 0.0636
Epoch 13/200, Iteration 11/25, Loss: 0.0746
Epoch 13/200, Iteration 12/25, Loss: 0.0422
Epoch 13/200, Iteration 13/25, Loss: 0.0775
Epoch 13/200, Iteration 14/25, Loss: 0.0721
Epoch 13/200, Iteration 15/25, Loss: 0.0440
Epoch 13/200, Iteration 16/25, Loss: 0.0859
Epoch 13/200, Iteration 17/25, Loss: 0.0393
Epoch 13/200, Iteration 18/25, Loss: 0.0555
Epoch 13/200, Iteration 19/25, Loss: 0.0444
Epoch 13/200, Iteration 20/25, Loss: 0.0453
Epoch 13/200, Iteration 21/25, Loss: 0.0793
Epoch 13/200, Iteration 22/25, Loss: 0.0305
Epoch 13/200, Iteration 23/25, Loss: 0.0393
Epoch 13/200, Iteration 24/25, Loss: 0.0325
Epoch 13/200, Iteration 25/25, Loss: 0.0288
Train Error:
 Accuracy: 73.62%, Avg loss: 0.040759, MRE: 2.459410
Test Error:
 Accuracy: 70.5%, Avg loss: 0.040201, MRE: 3.349184
Epoch 14/200, Iteration 1/25, Loss: 0.0527
Epoch 14/200, Iteration 2/25, Loss: 0.0337
Epoch 14/200, Iteration 3/25, Loss: 0.0687
Epoch 14/200, Iteration 4/25, Loss: 0.0382
Epoch 14/200, Iteration 5/25, Loss: 0.0435
Epoch 14/200, Iteration 6/25, Loss: 0.0430
Epoch 14/200, Iteration 7/25, Loss: 0.0526
Epoch 14/200, Iteration 8/25, Loss: 0.0400
Epoch 14/200, Iteration 9/25, Loss: 0.0949
Epoch 14/200, Iteration 10/25, Loss: 0.1125
Epoch 14/200, Iteration 11/25, Loss: 0.0207
Epoch 14/200, Iteration 12/25, Loss: 0.0656
Epoch 14/200, Iteration 13/25, Loss: 0.0670
Epoch 14/200, Iteration 14/25, Loss: 0.0407
Epoch 14/200, Iteration 15/25, Loss: 0.0552
Epoch 14/200, Iteration 16/25, Loss: 0.0575
Epoch 14/200, Iteration 17/25, Loss: 0.0552
Epoch 14/200, Iteration 18/25, Loss: 0.0554
Epoch 14/200, Iteration 19/25, Loss: 0.0478
Epoch 14/200, Iteration 20/25, Loss: 0.0511
Epoch 14/200, Iteration 21/25, Loss: 0.0772
Epoch 14/200, Iteration 22/25, Loss: 0.0684
Epoch 14/200, Iteration 23/25, Loss: 0.0389
Epoch 14/200, Iteration 24/25, Loss: 0.0758
Epoch 14/200, Iteration 25/25, Loss: 0.0755
Train Error:
 Accuracy: 45.25%, Avg loss: 0.050295, MRE: 2.252673
Test Error:
 Accuracy: 43.5%, Avg loss: 0.056735, MRE: 6.051951
Epoch 15/200, Iteration 1/25, Loss: 0.0378
Epoch 15/200, Iteration 2/25, Loss: 0.0655
Epoch 15/200, Iteration 3/25, Loss: 0.0322
Epoch 15/200, Iteration 4/25, Loss: 0.0323
Epoch 15/200, Iteration 5/25, Loss: 0.0525
Epoch 15/200, Iteration 6/25, Loss: 0.0737
Epoch 15/200, Iteration 7/25, Loss: 0.0403
Epoch 15/200, Iteration 8/25, Loss: 0.0984
Epoch 15/200, Iteration 9/25, Loss: 0.0880
Epoch 15/200, Iteration 10/25, Loss: 0.0706
Epoch 15/200, Iteration 11/25, Loss: 0.0770
Epoch 15/200, Iteration 12/25, Loss: 0.0472
Epoch 15/200, Iteration 13/25, Loss: 0.0495
Epoch 15/200, Iteration 14/25, Loss: 0.0392
Epoch 15/200, Iteration 15/25, Loss: 0.0384
Epoch 15/200, Iteration 16/25, Loss: 0.0533
Epoch 15/200, Iteration 17/25, Loss: 0.0384
Epoch 15/200, Iteration 18/25, Loss: 0.0550
Epoch 15/200, Iteration 19/25, Loss: 0.0347
Epoch 15/200, Iteration 20/25, Loss: 0.0562
Epoch 15/200, Iteration 21/25, Loss: 0.0560
Epoch 15/200, Iteration 22/25, Loss: 0.0402
Epoch 15/200, Iteration 23/25, Loss: 0.0288
Epoch 15/200, Iteration 24/25, Loss: 0.0819
Epoch 15/200, Iteration 25/25, Loss: 0.0498
Train Error:
 Accuracy: 33.38%, Avg loss: 0.033701, MRE: 1.213067
Test Error:
 Accuracy: 29.0%, Avg loss: 0.039169, MRE: 3.752267
Epoch 16/200, Iteration 1/25, Loss: 0.0247
Epoch 16/200, Iteration 2/25, Loss: 0.0762
Epoch 16/200, Iteration 3/25, Loss: 0.0484
Epoch 16/200, Iteration 4/25, Loss: 0.0378
Epoch 16/200, Iteration 5/25, Loss: 0.0841
Epoch 16/200, Iteration 6/25, Loss: 0.0399
Epoch 16/200, Iteration 7/25, Loss: 0.0681
Epoch 16/200, Iteration 8/25, Loss: 0.0691
Epoch 16/200, Iteration 9/25, Loss: 0.0868
Epoch 16/200, Iteration 10/25, Loss: 0.0562
Epoch 16/200, Iteration 11/25, Loss: 0.1189
Epoch 16/200, Iteration 12/25, Loss: 0.1095
Epoch 16/200, Iteration 13/25, Loss: 0.0953
Epoch 16/200, Iteration 14/25, Loss: 0.0816
Epoch 16/200, Iteration 15/25, Loss: 0.1398
Epoch 16/200, Iteration 16/25, Loss: 0.1075
Epoch 16/200, Iteration 17/25, Loss: 0.0327
Epoch 16/200, Iteration 18/25, Loss: 0.0829
Epoch 16/200, Iteration 19/25, Loss: 0.0973
Epoch 16/200, Iteration 20/25, Loss: 0.0828
Epoch 16/200, Iteration 21/25, Loss: 0.1044
Epoch 16/200, Iteration 22/25, Loss: 0.0986
Epoch 16/200, Iteration 23/25, Loss: 0.0624
Epoch 16/200, Iteration 24/25, Loss: 0.0636
Epoch 16/200, Iteration 25/25, Loss: 0.0781
Train Error:
 Accuracy: 12.62%, Avg loss: 0.104060, MRE: 4.461377
Test Error:
 Accuracy: 12.5%, Avg loss: 0.109545, MRE: 6.804696
Epoch 17/200, Iteration 1/25, Loss: 0.1231
Epoch 17/200, Iteration 2/25, Loss: 0.0716
Epoch 17/200, Iteration 3/25, Loss: 0.0920
Epoch 17/200, Iteration 4/25, Loss: 0.0473
Epoch 17/200, Iteration 5/25, Loss: 0.0908
Epoch 17/200, Iteration 6/25, Loss: 0.0636
Epoch 17/200, Iteration 7/25, Loss: 0.1511
Epoch 17/200, Iteration 8/25, Loss: 0.1594
Epoch 17/200, Iteration 9/25, Loss: 0.1156
Epoch 17/200, Iteration 10/25, Loss: 0.1053
Epoch 17/200, Iteration 11/25, Loss: 0.0455
Epoch 17/200, Iteration 12/25, Loss: 0.1094
Epoch 17/200, Iteration 13/25, Loss: 0.1293
Epoch 17/200, Iteration 14/25, Loss: 0.0820
Epoch 17/200, Iteration 15/25, Loss: 0.1499
Epoch 17/200, Iteration 16/25, Loss: 0.1262
Epoch 17/200, Iteration 17/25, Loss: 0.1233
Epoch 17/200, Iteration 18/25, Loss: 0.1274
Epoch 17/200, Iteration 19/25, Loss: 0.0637
Epoch 17/200, Iteration 20/25, Loss: 0.1443
Epoch 17/200, Iteration 21/25, Loss: 0.0678
Epoch 17/200, Iteration 22/25, Loss: 0.0809
Epoch 17/200, Iteration 23/25, Loss: 0.0800
Epoch 17/200, Iteration 24/25, Loss: 0.0706
Epoch 17/200, Iteration 25/25, Loss: 0.1015
Train Error:
 Accuracy: 38.88%, Avg loss: 0.048777, MRE: 2.550556
Test Error:
 Accuracy: 41.0%, Avg loss: 0.048043, MRE: 5.493131
Epoch 18/200, Iteration 1/25, Loss: 0.0470
Epoch 18/200, Iteration 2/25, Loss: 0.0510
Epoch 18/200, Iteration 3/25, Loss: 0.0330
Epoch 18/200, Iteration 4/25, Loss: 0.0405
Epoch 18/200, Iteration 5/25, Loss: 0.0571
Epoch 18/200, Iteration 6/25, Loss: 0.0569
Epoch 18/200, Iteration 7/25, Loss: 0.1251
Epoch 18/200, Iteration 8/25, Loss: 0.0559
Epoch 18/200, Iteration 9/25, Loss: 0.1670
Epoch 18/200, Iteration 10/25, Loss: 0.1379
Epoch 18/200, Iteration 11/25, Loss: 0.1302
Epoch 18/200, Iteration 12/25, Loss: 0.1809
Epoch 18/200, Iteration 13/25, Loss: 0.0958
Epoch 18/200, Iteration 14/25, Loss: 0.1156
